datetime,respondent_code,value
2024-09-10 13:00:00,NE,11408
2024-09-10 14:00:00,NE,91
2024-09-10 14:00:00,NE,10873
2024-09-10 14:00:00,NE,10670
2024-09-10 14:00:00,NE,10782
2024-09-10 15:00:00,NE,526
2024-09-10 15:00:00,NE,11049
2024-09-10 15:00:00,NE,10100
2024-09-10 15:00:00,NE,10523
2024-09-10 16:00:00,NE,10436
2024-09-10 16:00:00,NE,10010
2024-09-10 16:00:00,NE,572
2024-09-10 16:00:00,NE,11008
2024-09-10 17:00:00,NE,10964
2024-09-10 17:00:00,NE,10120
2024-09-10 17:00:00,NE,10414
2024-09-10 17:00:00,NE,550
2024-09-10 18:00:00,NE,601
2024-09-10 18:00:00,NE,11185
2024-09-10 18:00:00,NE,10510
2024-09-10 18:00:00,NE,10584
2024-09-10 19:00:00,NE,10817
2024-09-10 19:00:00,NE,11558
2024-09-10 19:00:00,NE,10980
2024-09-10 19:00:00,NE,741
2024-09-10 20:00:00,NE,906
2024-09-10 20:00:00,NE,12427
2024-09-10 20:00:00,NE,11790
2024-09-10 20:00:00,NE,11521
2024-09-10 21:00:00,NE,12915
2024-09-10 21:00:00,NE,13030
2024-09-10 21:00:00,NE,244
2024-09-10 21:00:00,NE,13159
2024-09-10 22:00:00,NE,-356
2024-09-10 22:00:00,NE,13833
2024-09-10 22:00:00,NE,14180
2024-09-10 22:00:00,NE,14189
2024-09-10 23:00:00,NE,-821
2024-09-10 23:00:00,NE,14066
2024-09-10 23:00:00,NE,14720
2024-09-10 23:00:00,NE,14887
2024-09-11 00:00:00,NE,14914
2024-09-11 00:00:00,NE,-1561
2024-09-11 00:00:00,NE,13353
2024-09-11 00:00:00,NE,14750
2024-09-11 01:00:00,NE,-1569
2024-09-11 01:00:00,NE,12757
2024-09-11 01:00:00,NE,14240
2024-09-11 01:00:00,NE,14326
2024-09-11 02:00:00,NE,13178
2024-09-11 02:00:00,NE,-1044
2024-09-11 02:00:00,NE,12134
2024-09-11 02:00:00,NE,13270
2024-09-11 03:00:00,NE,-512
2024-09-11 03:00:00,NE,11580
2024-09-11 03:00:00,NE,12120
2024-09-11 03:00:00,NE,12092
2024-09-11 04:00:00,NE,-705
2024-09-11 04:00:00,NE,10470
2024-09-11 04:00:00,NE,11080
2024-09-11 04:00:00,NE,11175
2024-09-11 05:00:00,NE,10953
2024-09-11 05:00:00,NE,-837
2024-09-11 05:00:00,NE,10116
2024-09-11 05:00:00,NE,10340
2024-09-11 06:00:00,NE,-1103
2024-09-11 06:00:00,NE,9605
2024-09-11 06:00:00,NE,9800
2024-09-11 06:00:00,NE,10708
2024-09-11 07:00:00,NE,10677
2024-09-11 07:00:00,NE,-1189
2024-09-11 07:00:00,NE,9488
2024-09-11 07:00:00,NE,9520
2024-09-11 08:00:00,NE,-1108
2024-09-11 08:00:00,NE,9427
2024-09-11 08:00:00,NE,9400
2024-09-11 08:00:00,NE,10535
2024-09-11 09:00:00,NE,-1150
2024-09-11 09:00:00,NE,9539
2024-09-11 09:00:00,NE,9570
2024-09-11 09:00:00,NE,10689
2024-09-11 10:00:00,NE,-1036
2024-09-11 10:00:00,NE,9808
2024-09-11 10:00:00,NE,10280
2024-09-11 10:00:00,NE,10844
2024-09-11 11:00:00,NE,11877
2024-09-11 11:00:00,NE,11430
2024-09-11 11:00:00,NE,-1640
2024-09-11 11:00:00,NE,10237
2024-09-11 12:00:00,NE,10899
2024-09-11 12:00:00,NE,11803
2024-09-11 12:00:00,NE,-904
2024-09-11 12:00:00,NE,11770
2024-09-11 13:00:00,NE,11068
2024-09-11 13:00:00,NE,-369
2024-09-11 13:00:00,NE,10699
2024-09-11 13:00:00,NE,11070
2024-09-11 14:00:00,NE,10549
2024-09-11 14:00:00,NE,10410
2024-09-11 14:00:00,NE,139
2024-09-11 14:00:00,NE,10260
2024-09-11 15:00:00,NE,833
2024-09-11 15:00:00,NE,10836
2024-09-11 15:00:00,NE,9730
2024-09-11 15:00:00,NE,10003
2024-09-11 16:00:00,NE,1116
2024-09-11 16:00:00,NE,9530
2024-09-11 16:00:00,NE,9795
2024-09-11 16:00:00,NE,10911
2024-09-11 17:00:00,NE,1258
2024-09-11 17:00:00,NE,11106
2024-09-11 17:00:00,NE,9590
2024-09-11 17:00:00,NE,9848
2024-09-11 18:00:00,NE,10178
2024-09-11 18:00:00,NE,11436
2024-09-11 18:00:00,NE,9910
2024-09-11 18:00:00,NE,1258
2024-09-11 19:00:00,NE,1137
2024-09-11 19:00:00,NE,11812
2024-09-11 19:00:00,NE,10470
2024-09-11 19:00:00,NE,10675
2024-09-11 20:00:00,NE,0
2024-09-11 20:00:00,NE,12973
2024-09-11 20:00:00,NE,11530
2024-09-11 20:00:00,NE,11456
2024-09-11 21:00:00,NE,162
2024-09-11 21:00:00,NE,12943
2024-09-11 21:00:00,NE,12910
2024-09-11 21:00:00,NE,12781
2024-09-11 22:00:00,NE,14094
2024-09-11 22:00:00,NE,14200
2024-09-11 22:00:00,NE,-691
